ClusterId: 106 (101 objects):
    1 (X: 19,35; Y: 31,65)
    1 (X: 20,35; Y: 31,45)
    1 (X: 21,35; Y: 31,1)
    1 (X: 22,25; Y: 30,9)
    1 (X: 23,2; Y: 30,45)
    1 (X: 23,95; Y: 30,05)
    1 (X: 24,9; Y: 29,65)
    1 (X: 25,6; Y: 29,05)
    1 (X: 26,35; Y: 28,5)
    1 (X: 27,15; Y: 27,9)
    1 (X: 27,75; Y: 27,35)
    1 (X: 28,3; Y: 26,6)
    1 (X: 28,95; Y: 25,85)
    1 (X: 29,5; Y: 25,15)
    1 (X: 29,95; Y: 24,45)
    1 (X: 30,4; Y: 23,7)
    1 (X: 30,6; Y: 22,9)
    1 (X: 30,9; Y: 22,1)
    1 (X: 31,25; Y: 21,3)
    1 (X: 31,35; Y: 20,55)
    1 (X: 31,5; Y: 19,7)
    1 (X: 31,55; Y: 18,9)
    1 (X: 31,65; Y: 18,15)
    1 (X: 31,6; Y: 17,35)
    1 (X: 31,45; Y: 16,55)
    1 (X: 31,3; Y: 15,8)
    1 (X: 31,15; Y: 15,05)
    1 (X: 30,9; Y: 14,35)
    1 (X: 30,6; Y: 13,65)
    1 (X: 30,3; Y: 13)
    1 (X: 29,9; Y: 12,3)
    1 (X: 29,5; Y: 11,75)
    1 (X: 29; Y: 11,15)
    1 (X: 28,5; Y: 10,6)
    1 (X: 28; Y: 10,1)
    1 (X: 27,55; Y: 9,65)
    1 (X: 26,9; Y: 9,1)
    1 (X: 26,25; Y: 8,8)
    1 (X: 25,7; Y: 8,4)
    1 (X: 25,15; Y: 8,05)
    1 (X: 24,5; Y: 7,75)
    1 (X: 23,9; Y: 7,65)
    1 (X: 23,15; Y: 7,4)
    1 (X: 22,5; Y: 7,3)
    1 (X: 21,9; Y: 7,1)
    1 (X: 21,25; Y: 7,05)
    1 (X: 20,5; Y: 7)
    1 (X: 19,9; Y: 6,95)
    1 (X: 19,25; Y: 7,05)
    1 (X: 18,75; Y: 7,1)
    1 (X: 18,05; Y: 7,25)
    1 (X: 17,5; Y: 7,35)
    1 (X: 16,9; Y: 7,6)
    1 (X: 16,35; Y: 7,8)
    1 (X: 15,8; Y: 8,05)
    1 (X: 15,4; Y: 8,35)
    1 (X: 14,9; Y: 8,7)
    1 (X: 14,45; Y: 8,9)
    1 (X: 13,95; Y: 9,3)
    1 (X: 13,6; Y: 9,65)
    1 (X: 13,25; Y: 10,1)
    1 (X: 12,95; Y: 10,55)
    1 (X: 12,65; Y: 10,9)
    1 (X: 12,35; Y: 11,4)
    1 (X: 12,2; Y: 11,75)
    1 (X: 11,95; Y: 12,2)
    1 (X: 11,8; Y: 12,65)
    1 (X: 11,75; Y: 13,05)
    1 (X: 11,55; Y: 13,6)
    1 (X: 11,55; Y: 14)
    1 (X: 11,55; Y: 14,35)
    1 (X: 11,55; Y: 14,7)
    1 (X: 11,6; Y: 15,25)
    1 (X: 11,65; Y: 15,7)
    1 (X: 11,8; Y: 16,05)
    1 (X: 11,85; Y: 16,5)
    1 (X: 12; Y: 16,75)
    1 (X: 12,15; Y: 17,2)
    1 (X: 12,3; Y: 17,6)
    1 (X: 12,55; Y: 17,85)
    1 (X: 12,8; Y: 18,05)
    1 (X: 13,1; Y: 18,4)
    1 (X: 13,3; Y: 18,6)
    1 (X: 13,55; Y: 18,85)
    1 (X: 13,8; Y: 19,05)
    1 (X: 14,15; Y: 19,25)
    1 (X: 14,45; Y: 19,5)
    1 (X: 14,85; Y: 19,55)
    1 (X: 15; Y: 19,7)
    1 (X: 15,25; Y: 19,7)
    1 (X: 15,55; Y: 19,85)
    1 (X: 15,95; Y: 19,9)
    1 (X: 16,2; Y: 19,9)
    1 (X: 16,55; Y: 19,9)
    1 (X: 16,85; Y: 19,9)
    1 (X: 17,2; Y: 19,9)
    1 (X: 17,4; Y: 19,8)
    1 (X: 17,65; Y: 19,75)
    1 (X: 17,8; Y: 19,7)
    1 (X: 18; Y: 19,6)
    1 (X: 18,2; Y: 19,55)

ClusterId: 0 (106 objects):
    3 (X: 31,95; Y: 7,95)
    3 (X: 31,15; Y: 7,3)
    3 (X: 30,45; Y: 6,65)
    3 (X: 29,7; Y: 6)
    3 (X: 28,9; Y: 5,55)
    3 (X: 28,05; Y: 5)
    3 (X: 27,2; Y: 4,55)
    3 (X: 26,35; Y: 4,15)
    3 (X: 25,4; Y: 3,85)
    3 (X: 24,6; Y: 3,6)
    3 (X: 23,6; Y: 3,3)
    3 (X: 22,75; Y: 3,15)
    3 (X: 21,85; Y: 3,05)
